Campaign,Channel,Billing Index,Billing Category,Billing Description
Enbridge | Accountability | Broad AW - IO,Twitter,1,Ad,Enbridge Video
Enbridge | Accountability | Broad VV - IO,Twitter,1,Ad,Enbridge Video
Enbridge | Accountability | Influencers,Twitter,1,Ad,Enbridge Video
Enbridge | Accountability | Mackinac Broad AW - IO,Twitter,1,Ad,Enbridge Video
Enbridge| Accountability | GEO,Twitter,1,Ad,Enbridge Video
LCV | Categories | Bumper,Google,1,Ad,Enbridge Video
LCV | Democrat Counties | Display - CPM,Google,1,Ad,Enbridge Video
LCV | GEO | Enbridge | ACCOUNTABLE,Facebook,1,Ad,Enbridge Video
LCV | GEO | Enbridge 15 | ACCOUNTABLE,Facebook,1,Ad,Enbridge Video
LCV | GEO | Enbridge 30 | ACCOUNTABLE,Facebook,1,Ad,Enbridge Video
LCV | GEO | Enbridge 6 | ACCOUNTABLE,Facebook,1,Ad,Enbridge Video
LCV | Mackinac Island | Display - CPM,Google,1,Ad,Enbridge Video
LCV | Mixed Counties | Display - CPM,Google,1,Ad,Enbridge Video
LCV | Pivot Counties | Display - CPM,Google,1,Ad,Enbridge Video
Enbridge | Accountability | Anchor | Influencers - IO,Twitter,2,Ad,Anchor Video
Enbridge | Anchor | Influencers,Twitter,2,Ad,Anchor Video
LCV | GEO | Anchor | ACCELERATED | ACCOUNTABLE,Facebook,2,Ad,Anchor Video
LCV | GEO | Anchor | ACCOUNTABLE,Facebook,2,Ad,Anchor Video
Enbridge | Accountability | Tunnel | Influencers - IO,Twitter,3,Ad,Tunnel Video
LCV | GEO | Tunnel | ACCELERATED | ACCOUNTABLE,Facebook,3,Ad,Tunnel Video
LCV | GEO | Tunnel | ACCOUNTABLE,Facebook,3,Ad,Tunnel Video
Planned Parenthood | GEO | ACCELERATED | ACCOUNTABLE,Facebook,4,Ad,Issue-based Images
Planned Parenthood | GEO | ACCOUNTABLE,Facebook,4,Ad,Issue-based Images
PP | Awareness | Images,Twitter,4,Ad,Issue-based Images
PP | Awareness | Images - IO,Twitter,4,Ad,Issue-based Images
PP | Democrat Counties | Display,Google,4,Ad,Issue-based Images
PP | Mixed Counties | Display,Google,4,Ad,Issue-based Images
PP | Pivot Counties | Display,Google,4,Ad,Issue-based Images
PM | Democrat Counties | Display,Google,5,Ad,Health Risks 
PM | Democrat Counties | Display - CPM,Google,5,Ad,Health Risks 
PM | Democrat Counties | Display | Accelerated - CPM,Google,5,Ad,Health Risks 
PM | Democrat Counties | Display | Guns,Google,5,Ad,Health Risks 
PM | Mixed Counties | Display,Google,5,Ad,Health Risks 
PM | Mixed Counties | Display | Accelerated - CPM,Google,5,Ad,Health Risks 
PM | Mixed Counties | Display | Guns,Google,5,Ad,Health Risks 
PM | Pivot Counties | Display,Google,5,Ad,Health Risks 
PM | Pivot Counties | Display | Accelerated - CPM,Google,5,Ad,Health Risks 
PM | Pivot Counties | Display | Guns,Google,5,Ad,Health Risks 
Progress Michigan | GEO | Health Risks | ACCOUNTABLE,Facebook,5,Ad,Health Risks 
Progress Michigan | Health Risks V2 | Accountability,Twitter,5,Ad,Health Risks 
Progress Michigan | Health Risks V2 | Accountability - Awareness,Twitter,5,Ad,Health Risks 
Progress Michigan | Health Risks V2 | Accountability | Interest Targeting,Twitter,5,Ad,Health Risks 
Progress | Press | Demo_High,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Demo_High | Engagement,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Demo_Low | Engagement,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Demo_Med,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Demo_Med | Engagement,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Democratic_High,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Democratic_High - Engagement,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Democratic_Low,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Democratic_Low - Engagement,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Democratic_Med,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Democratic_Med - Engagement,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Persaudables_High,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Persaudables_High - Engagement,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Persaudables_Med,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Persaudables_Med - Engagement,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Persuad_High,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Persuad_High | Engagement,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Persuad_Med,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Persuad_Med | Engagement,Facebook,6,Ad,Anti-Schuette Video
Progress | Press | Survey | Control Group,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Control Group | Part 2,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Demo_High,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Demo_High | Part 2,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Demo_Low,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Demo_Low | Part 2,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Demo_Med,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Demo_Med | Part 2,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Persuad_High,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Persuad_High | Part 2,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Persuad_Low,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Persuad_Low | Part 2,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Persuad_Med,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Persuad_Med | Part 2,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Repub_High,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Repub_High | Part 2,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Repub_Low,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Repub_Low | Part 2,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Repub_Med,Facebook,6,Survey,Anti-Schuette Video
Progress | Press | Survey | Repub_Med | Part 2,Facebook,6,Survey,Anti-Schuette Video
Progress | Call Gretchen | Demo_High | Engagement,Facebook,7,Ad,Pro-Gretchen Video
Progress | Call Gretchen | Demo_Low | Engagement,Facebook,7,Ad,Pro-Gretchen Video
Progress | Call Gretchen | Demo_Med | Engagement,Facebook,7,Ad,Pro-Gretchen Video
Progress | Call Gretchen | Persuad_High | Engagement,Facebook,7,Ad,Pro-Gretchen Video
Progress | Call Gretchen | Persuad_Med | Engagement,Facebook,7,Ad,Pro-Gretchen Video
Progress | Call Whitmer | Demo_High | Engagement,Facebook,7,Ad,Pro-Gretchen Video
Progress | Call Whitmer | Demo_Low | Engagement,Facebook,7,Ad,Pro-Gretchen Video
Progress | Call Whitmer | Demo_Med | Engagement,Facebook,7,Ad,Pro-Gretchen Video
Progress | Call Whitmer | Persuad_High | Engagement,Facebook,7,Ad,Pro-Gretchen Video
Progress | Call Whitmer | Persuad_Med | Engagement,Facebook,7,Ad,Pro-Gretchen Video
Progress | Press | Survey | Control Group | Part 2 - LC,Facebook,7,Survey,Anti-Schuette Video
Progress | Press | Survey | Demo_High | Part 2 - LC,Facebook,7,Survey,Anti-Schuette Video
Progress | Press | Survey | Demo_Low | Part 2 - LC,Facebook,7,Survey,Anti-Schuette Video
Progress | Press | Survey | Demo_Med | Part 2 - LC,Facebook,7,Survey,Anti-Schuette Video
Progress | Press | Survey | Persuad_High | Part 2 - LC,Facebook,7,Survey,Anti-Schuette Video
Progress | Press | Survey | Persuad_Low | Part 2 - LC,Facebook,7,Survey,Anti-Schuette Video
Progress | Press | Survey | Persuad_Med | Part 2 - LC,Facebook,7,Survey,Anti-Schuette Video
Progress | Press | Survey | Repub_High | Part 2 - LC,Facebook,7,Survey,Anti-Schuette Video
Progress | Press | Survey | Repub_Low | Part 2 - LC,Facebook,7,Survey,Anti-Schuette Video
Progress | Press | Survey | Repub_Med | Part 2 - LC,Facebook,7,Survey,Anti-Schuette Video
Planned | Demo_High,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Demo_High | Lifetime,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Demo_Low,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Demo_Low | Lifetime,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Demo_Med,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Demo_Med | Lifetime,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Democratic_High,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Democratic_High - Lifetime,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Democratic_High | Flight 2,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Democratic_High | Flight 2 - Accelerated,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Democratic_Low,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Democratic_Low - Lifetime,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Democratic_Low | Flight 2,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Democratic_Low | Flight 2 - Accelerated,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Democratic_Med,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Democratic_Med - Lifetime,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Democratic_Med | Flight 2,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Democratic_Med | Flight 2 - Accelerated,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Issues | Survey | Control,Facebook,8,Ad,Pro-Gretchen Video
Planned | Issues | Survey | Demo_High,Facebook,8,Ad,Pro-Gretchen Video
Planned | Issues | Survey | Demo_Low,Facebook,8,Ad,Pro-Gretchen Video
Planned | Issues | Survey | Demo_Med,Facebook,8,Ad,Pro-Gretchen Video
Planned | Issues | Survey | Persuad_High,Facebook,8,Ad,Pro-Gretchen Video
Planned | Issues | Survey | Persuad_Low,Facebook,8,Ad,Pro-Gretchen Video
Planned | Issues | Survey | Persuad_Med,Facebook,8,Ad,Pro-Gretchen Video
Planned | Issues | Survey | Repub_High,Facebook,8,Ad,Pro-Gretchen Video
Planned | Issues | Survey | Repub_Low,Facebook,8,Ad,Pro-Gretchen Video
Planned | Issues | Survey | Repub_Med,Facebook,8,Ad,Pro-Gretchen Video
Planned | Persaudables_High,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Persaudables_High | Flight 2,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Persaudables_High | Flight 2 - Accelerated,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Persaudables_Med,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Persaudables_Med - Lifetime,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Persaudables_Med | Flight 2,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Persaudables_Med | Flight 2 - Accelerated,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Persuad_High,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Persuad_Med,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Persuad_Med | Lifetime,Facebook,8,Ad,Pro-Gretchen + Anti-Schuette Images
Planned | Protect | Demo_HighF,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Demo_HighF | B,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Demo_LowF,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Demo_LowF | B,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Demo_Mixed,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Images,Twitter,9,Ad,Protect Roe vs Wade
Planned | Protect | Persuad_HighF,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Persuad_HighF | B,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Persuad_LowF,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Persuad_LowF | B,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Persuad_Mixed,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Persuad_Mixed | B,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Repub_HighF,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Repub_HighF | B,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Repub_HighF | C,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Sept,Twitter,9,Ad,Protect Roe vs Wade
Planned | Protect | Video,Twitter,9,Ad,Protect Roe vs Wade
Protect | Demo X HighF,Google,9,Ad,Protect Roe vs Wade
Protect | Demo X HighF | Discovery,Google,9,Ad,Protect Roe vs Wade
Protect | Demo X LowF,Google,9,Ad,Protect Roe vs Wade
Protect | Demo X LowF | Discovery,Google,9,Ad,Protect Roe vs Wade
Protect | Demo X Mixed,Google,9,Ad,Protect Roe vs Wade
Protect | Demo X Mixed | Discovery,Google,9,Ad,Protect Roe vs Wade
Protect | Persuad X HighF,Google,9,Ad,Protect Roe vs Wade
Protect | Persuad X HighF | Discovery,Google,9,Ad,Protect Roe vs Wade
Protect | Persuad X LowF,Google,9,Ad,Protect Roe vs Wade
Protect | Persuad X LowF | Discovery,Google,9,Ad,Protect Roe vs Wade
Protect | Persuad X Mixed,Google,9,Ad,Protect Roe vs Wade
Protect | Persuad X Mixed | Discovery,Google,9,Ad,Protect Roe vs Wade
Protect | Republican X HighF,Google,9,Ad,Protect Roe vs Wade
Protect | Republican X HighF | Discovery,Google,9,Ad,Protect Roe vs Wade
Planned | Protect | Demo_Mixed | B,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Persuad_HighF | C,Facebook,9,Ad,Protect Roe vs Wade
Planned | Protect | Repub_HighF | D,Facebook,9,Ad,Protect Roe vs Wade