Message,MessageNew
GreatLakes,Great Lakes
wouldyou,Would You
whatwillittake,What Will It Take
anchor,Anchor
antichoice,Anti-Choice
handsoff,Hands Off
money,Money
defund,Defund
insurance,Abortion Insurance (May 2018)
arsenic,Arsenic
mercury,Mercury
smoke,Smoke
tunnel,Tunnel
abortion rights,Abortion Rights
abortion ban,Abortion Ban
oppose betsy,Oppose Betsy
access birthcontrol,Access Birth Control
access 4all,Access For All
equality pay,Equality Pay
access pp,Access PP
billschuette call,Anti-Schuette (Post-Primaries)
abortion insurance,Abortion Insurance (Aug 2018)
gretchenwhitmer call,Pro-Gretchen (Post-Primaries)
Sentiment Survey,Sentiment Survey